record_index,system,component,supplier_before,supplier_after,role_hint,action,detail
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,SIKA,Sika,tier2_second_transformation,normalize_reviewed_supplier,Aerospace adhesives/sealants supplier; verify exact adhesive/film product.
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,HENKEL,Henkel,tier3_first_transformation,normalize_reviewed_supplier,Aerospace adhesives/materials supplier.
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,KEMKO Aerospace,KEMKO Aerospace,tier1,fill_missing_location_from_review_followup,suppliers
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
6,Ens. Stowage latéral,cuir,La Filière Française du cuir,La Filière Française du cuir,tier3_first_transformation,removed_from_switchable_network,"Industry association/channel, useful for sourcing context but not a supplier node."
6,Ens. Stowage latéral,cuir,EUREKA SARL DERAYGE SERVICE,EUREKA SARL DERAYGE SERVICE,tier2_second_transformation,moved_to_unverified,Could not robustly validate as industrial seat/leather supplier.
6,Ens. Stowage latéral,cuir,"Gruppo Mastrotto (Arzignano, Italie)",Gruppo Mastrotto,tier3_first_transformation,normalize_reviewed_supplier,Leather group/tannery; valid leather transformation source.
6,Ens. Stowage latéral,cuir,"Gruppo Mastrotto (Arzignano, Italie)",Gruppo Mastrotto,tier3_first_transformation,infer_primary_after_review,selected Gruppo Mastrotto as primary for tier3_first_transformation
7,lightning,lightning,Diodes Incorporated,Diodes Incorporated,tier2_second_transformation,moved_to_cots_upstream,"Semiconductor supplier; valid upstream electronics, not direct aerospace supplier."
7,lightning,lightning,Infineon Technologies AG,Infineon,tier2_second_transformation,moved_to_cots_upstream,Semiconductor supplier; valid upstream electronics but not direct seat supplier.
7,lightning,lightning,ROHM Co. Ltd,ROHM,tier2_second_transformation,moved_to_cots_upstream,Semiconductor supplier; valid upstream electronics but not direct seat supplier.
7,lightning,lightning,Auger,Auger,tier2_second_transformation,moved_to_unverified,Ambiguous supplier name; do not use for switches before validation.
7,lightning,lightning,Valeo,Valeo,tier1,moved_to_cots_upstream,Automotive electronics brand; not a direct aerospace-seat supplier without proof.
7,lightning,lightning,S.E.L.A,S.E.L.A,tier1,moved_to_unverified,Ambiguous supplier name.
7,lightning,lightning,Thales,Thales,tier1,normalize_reviewed_supplier,Aerospace/avionics supplier; plausible T1/T2 for IFE/electronics.
7,lightning,lightning,SCHOTT,SCHOTT Aviation,tier1,normalize_reviewed_supplier,SCHOTT has aviation markets; plausible lighting/glass supplier.
7,lightning,lightning,E2IP,e2ip technologies,tier2_second_transformation,infer_primary_after_review,selected e2ip technologies as primary for tier2_second_transformation
7,lightning,lightning,Thales,Thales,tier1,infer_primary_after_review,selected Thales as primary for tier1
7,lightning,lightning,Diodes Incorporated,Diodes Incorporated,tier2_second_transformation,fill_missing_location_from_review_followup,cots_upstream_suppliers
7,lightning,lightning,ROHM Co. Ltd,ROHM,tier2_second_transformation,fill_missing_location_from_review_followup,cots_upstream_suppliers
8,Padding (rembourrage),AIRVOLT LAMINAT,Group Mondi,Mondi,tier2_second_transformation,moved_to_packaging,Paper/packaging group; usually packaging/auxiliary unless material paper is deliberate.
8,Padding (rembourrage),AIRVOLT LAMINAT,Billerudkorsnäs,Billerud,tier4_raw_material,normalize_reviewed_supplier,Billerud is a paper/material supplier; keep as upstream paper source for AIRVOLT-like material.
8,Padding (rembourrage),AIRVOLT LAMINAT,Smurfit Kappa,Smurfit Kappa,tier3_first_transformation,moved_to_packaging,Packaging/paper group; not a manufacturing tier unless the paper itself is part of material.
8,Padding (rembourrage),AIRVOLT LAMINAT,Pergo,Pergo,tier2_second_transformation,removed_from_switchable_network,Flooring laminate brand; not credible as aerospace-seat supply node without traceability.
8,Padding (rembourrage),AIRVOLT LAMINAT,Balterio,Balterio,tier2_second_transformation,removed_from_switchable_network,Laminate flooring brand; not a credible aerospace-seat supplier without material traceability.
8,Padding (rembourrage),AIRVOLT LAMINAT,Formica,Formica,tier3_first_transformation,normalize_reviewed_supplier,Laminate/surface material producer; plausible for laminate materials.
8,Padding (rembourrage),AIRVOLT LAMINAT,Glatfelter,Glatfelter,tier2_second_transformation,infer_primary_after_review,selected Glatfelter as primary for tier2_second_transformation
8,Padding (rembourrage),AIRVOLT LAMINAT,Daio Paper Corporation,Daio Paper Corporation,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
8,Padding (rembourrage),AIRVOLT LAMINAT,Group Mondi,Mondi,tier2_second_transformation,fill_missing_location_from_review_followup,packaging_suppliers
9,Stowage assemblé avec porte,Silicone,General Electric,General Electric,tier1,removed_from_switchable_network,Too broad and mismatched for silicone/cables without product traceability.
9,Stowage assemblé avec porte,Silicone,Rhône Poulenc,Rhône Poulenc,tier2_second_transformation,moved_to_unverified,Legacy chemical name; replace with current group/product source such as Solvay/Rhodia if applicable.
9,Stowage assemblé avec porte,Silicone,Toschiba-Shinetsu,Shin-Etsu Silicones,tier3_first_transformation,normalize_reviewed_supplier,Correct to Shin-Etsu Silicones for silicone material; Toshiba part is likely a typo/noise.
9,Stowage assemblé avec porte,Silicone,Silicon Engineering,Silicone Engineering,tier2_second_transformation,normalize_reviewed_supplier,Silicone Engineering is a silicone rubber material supplier.
9,Stowage assemblé avec porte,Silicone,Silicon Engineering,Silicone Engineering,tier2_second_transformation,infer_primary_after_review,selected Silicone Engineering as primary for tier2_second_transformation
9,Stowage assemblé avec porte,Silicone,MGA Villeneuve St Lot,MGA Villeneuve St Lot,tier1,infer_primary_after_review,selected MGA Villeneuve St Lot as primary for tier1
9,Stowage assemblé avec porte,Silicone,Toschiba-Shinetsu,Shin-Etsu Silicones,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
9,Stowage assemblé avec porte,Silicone,Silicon Engineering,Silicone Engineering,tier2_second_transformation,fill_missing_location_from_review_followup,suppliers
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,BT Electronics,BT Electronics,tier2_second_transformation,moved_to_unverified,Ambiguous electronics supplier; do not use as switch before validation.
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,NVIDIA,NVIDIA,tier2_second_transformation,moved_to_cots_upstream,Too generic without exact electronic BOM.
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Intel --> fondée en 1968 qui est le deuxième fabricant mondial de semi-conducteurs.,Intel,tier2_second_transformation,moved_to_cots_upstream,"Text contains encyclopedia note; if kept, normalize to Intel and model only as generic semiconductor upstream."
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,TSMC,TSMC,tier2_second_transformation,moved_to_cots_upstream,Foundry too far upstream/generic without exact electronic BOM.
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,JAMMY Inc,JAMMY Inc,tier1,removed_from_switchable_network,Not verifiable as aerospace-seat supplier; likely typo/noise.
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Thales,Thales,tier1,normalize_reviewed_supplier,Aerospace/avionics supplier; plausible T1/T2 for IFE/electronics.
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,PMV,PMV,tier1,moved_to_unverified,Ambiguous supplier name.
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,3M,3M,tier2_second_transformation,infer_primary_after_review,selected 3M as primary for tier2_second_transformation
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Thales,Thales,tier1,infer_primary_after_review,selected Thales as primary for tier1
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,Intel --> fondée en 1968 qui est le deuxième fabricant mondial de semi-conducteurs.,Intel,tier2_second_transformation,fill_missing_location_from_review_followup,cots_upstream_suppliers
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,TSMC,TSMC,tier2_second_transformation,fill_missing_location_from_review_followup,cots_upstream_suppliers
11,Coussin ottoman,tissu,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
11,Coussin ottoman,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
11,Coussin ottoman,tissu,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,Tissus:,Tissus:,tier3_first_transformation,removed_from_switchable_network,"Generic material label, not a supplier."
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,Paragon Textiles,Paragon Textiles,tier3_first_transformation,moved_to_unverified,Name is plausible but source/country linkage was not robust enough; keep only after purchasing validation.
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,normalize_reviewed_supplier,Textile supplier; valid textile transformation node.
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,Aluminium,Aluminium,tier4_raw_material,removed_from_switchable_network,"Generic material label, not a supplier. Replace with Alcoa/Hindalco/Chalco/Constellium/etc. according to traceability."
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,"Zhejiang Yuxin Textile Co.,Ltd.","Zhejiang Yuxin Textile Co.,Ltd.",tier3_first_transformation,infer_primary_after_review,"selected Zhejiang Yuxin Textile Co.,Ltd. as primary for tier3_first_transformation"
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,Tissu Huddersfield,Huddersfield Textiles,tier3_first_transformation,fill_missing_location_from_review_followup,suppliers
14,Ens. Palette optimisée,35NC6 (nickel-chrome),SABIC,SABIC,tier4_raw_material,removed_out_of_scope_for_component,"Valid chemical/polymer producer, but not valid for steel records such as 35NC6."
17,Accoudoir allée,A2017 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
18,Ens. Stowage latéral,A2017 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
19,Ens. Palette optimisée,A2017 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
20,Ens. Tablette cocktail,A2017 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
21,Ens. Tablette repas,A2017 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
22,Ens. Têtière,A2017 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
23,Stowage assemblé avec porte,A2017 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
24,Support écran,A2017 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
25,Accoudoir allée,A2024 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
26,Ens. Tablette cocktail,A2024 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
27,Ens. Tablette repas,A2024 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
28,Ens. Têtière,A2024 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",Lelièvre Paris,Lelièvre Paris,tier2_second_transformation,normalize_reviewed_supplier,"Upholstery textile supplier; valid textile source, but aerospace qualification to verify."
32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",ESPACE,ESPACE,tier1,normalize_reviewed_supplier,Duplicate naming variant; merge into existing ESPACE supplier record.
54,Ens. Structure fauteuil,A2017 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
55,Ens. Structure fauteuil,A2024 - Aluminium,XPO Logistic,XPO Logistic,logistics,fill_missing_location_from_review_followup,logistics_providers
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,JAMMY Inc,JAMMY Inc,tier1,removed_from_switchable_network,Not verifiable as aerospace-seat supplier; likely typo/noise.
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,Tyco Electronic,TE Connectivity,tier1,normalize_reviewed_supplier,Normalize to TE Connectivity; aerospace connectors/electronics supplier.
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,Racelogic,Racelogic,tier2_second_transformation,removed_from_switchable_network,Data logger/vehicle testing supplier does not fit cable bracket record without exact product proof.
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,General Electric,General Electric,tier1,removed_from_switchable_network,Too broad and mismatched for silicone/cables without product traceability.
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,Honeywell,Honeywell Aerospace,tier1,normalize_reviewed_supplier,Aerospace systems/electronics group; exact cable/electronic product still needed.
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,SCHNEIDER,SCHNEIDER,tier1,moved_to_cots_upstream,Likely Schneider Electric; too generic as T1 cable supplier.
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,Thales,Thales,tier1,normalize_reviewed_supplier,Aerospace/avionics supplier; plausible T1/T2 for IFE/electronics.
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,Tyco Electronic,TE Connectivity,tier1,infer_primary_after_review,selected TE Connectivity as primary for tier1
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,Tyco Electronic,TE Connectivity,tier1,fill_missing_location_from_review_followup,suppliers
73,SFCU (Seat Function Control Unit),Clavier,Auger,Auger,tier2_second_transformation,moved_to_unverified,Ambiguous supplier name; do not use for switches before validation.
73,SFCU (Seat Function Control Unit),Clavier,Valeo,Valeo,tier1,moved_to_cots_upstream,Automotive electronics brand; not a direct aerospace-seat supplier without proof.
74,Commande actionnement ECU,Commande actionnement ECU,LIEBHERR,Liebherr Aerospace,tier1,normalize_reviewed_supplier,Aerospace systems supplier; exact ECU/actuation relevance should be validated.
74,Commande actionnement ECU,Commande actionnement ECU,Thales,Thales,tier1,normalize_reviewed_supplier,Aerospace/avionics supplier; plausible T1/T2 for IFE/electronics.
74,Commande actionnement ECU,Commande actionnement ECU,LIEBHERR,Liebherr Aerospace,tier1,fill_missing_location_from_review_followup,suppliers
