tier_code,role_hint,tier_label,supplier,country,region,business_family,record_count,primary_count,alternate_count,mass_exposure_kg_sum_record_level,confidence,modeling_action,has_coordinates,source_ids,geocode_status_counts,system_examples,component_examples,description_examples,review_status,recommended_tier_code,reviewed_action,reviewed_confidence,review_rationale,review_source_ids,canonical_supplier
T4,tier4_raw_material,Raw material / primary producer,ChemChina,China,Outside_Europe,polymer_plastic_chemical,8,0,8,3.661,review,keep_as_supply_tier_node,True,,kept_from_source_json:8,Capot NFC | Coussin ottoman | Ens. Stowage latéral | Ensemble porte | Ens. Tablette cocktail | Ens. Tablette repas,kydex | caoutchouc,Chimie lourde / polymères bruts,validated_supplier,T4,keep,medium,Real chemical group; keep only for polymer/rubber/chemical records.,SRC_CHEMCHINA_WEF_001,ChemChina
T4,tier4_raw_material,Raw material / primary producer,Mexichem,Mexico,Outside_Europe,general_industrial,8,0,8,3.661,review,keep_as_supply_tier_node,True,,kept_from_source_json:8,Capot NFC | Coussin ottoman | Ens. Stowage latéral | Ensemble porte | Ens. Tablette cocktail | Ens. Tablette repas,kydex | caoutchouc,PVC / chimie de base,validated_supplier,T4,normalize_name,high,Mexichem is now Orbia; valid chemical/materials upstream supplier.,SRC_ORBIA_001,Orbia / Mexichem
T4,tier4_raw_material,Raw material / primary producer,"Shandong Loyal Chemical Co., Ltd.",China,Outside_Europe,general_industrial,8,7,1,3.661,review,keep_as_supply_tier_node,True,,kept_from_source_json:8,Capot NFC | Coussin ottoman | Ens. Stowage latéral | Ensemble porte | Ens. Tablette cocktail | Ens. Tablette repas,kydex | caoutchouc,Matière première — résines / additifs,validated_supplier,T4,keep_with_source_check,medium,Plausible chemical/PVC additive supplier; keep for polymer records but verify site and product.,SRC_SHANDONG_LOYAL_001,"Shandong Loyal Chemical Co., Ltd."
T4,tier4_raw_material,Raw material / primary producer,Polymère,France,France,polymer_plastic_chemical,3,0,3,4.756,review,keep_as_supply_tier_node,True,,kept_from_source_json:3,Ecran - Screen Display (COTS) | Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4) | Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",Générique polymère,generic_placeholder,T4,remove_replace_with_named_supplier,high,"Generic material label, not a supplier. Replace with named polymer producer from purchasing/BOM.",,
T4,tier4_raw_material,Raw material / primary producer,Aluminium,France,France,aluminium_raw_or_transformation,2,0,2,0.078,review,keep_as_supply_tier_node,True,,kept_from_source_json:2,Manchette acc. Mobile | Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,Générique aluminium,generic_placeholder,T4,remove_replace_with_named_supplier,high,"Generic material label, not a supplier. Replace with Alcoa/Hindalco/Chalco/Constellium/etc. according to traceability.",,
T4,tier4_raw_material,Raw material / primary producer,SABIC,Arabie Saoudite,Outside_Europe,polymer_plastic_chemical,2,2,0,0.811743,review,keep_as_supply_tier_node,True,,kept_from_source_json:2,Ens. Palette optimisée | bumper version porte,35NC6 (nickel-chrome) | copolymere lexan fst simapro: extrusion et thermoformage,Pétrochimie (PE/PP/Lexan),validated_supplier_with_component_scope_issue,T4,keep_only_for_polymer_records,high,"Valid chemical/polymer producer, but not valid for steel records such as 35NC6.",SRC_SABIC_001,SABIC
T4,tier4_raw_material,Raw material / primary producer,Billerudkorsnäs,Sweden,Europe_non_FR,general_industrial,1,0,1,0.95,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,"Matière première — pâte à papier, kraft",validated_supplier,T4,normalize_name,high,Billerud is a paper/material supplier; keep as upstream paper source for AIRVOLT-like material.,SRC_BILLERUD_001,Billerud
T4,tier4_raw_material,Raw material / primary producer,Gascogne Papier,France,France,general_industrial,1,0,1,0.95,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Papier kraft,validated_supplier,T4,keep,high,Paper producer; valid upstream paper source for AIRVOLT-like material.,SRC_GASCOGNE_001,Gascogne Papier
T4,tier4_raw_material,Raw material / primary producer,Halcyon Hevecam,Cameroun,Outside_Europe,general_industrial,1,1,0,0.01,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Latex naturel,validated_supplier,T4,keep,medium_high,Halcyon Agri rubber processing/subsidiary; valid upstream natural rubber source.,SRC_HALCYON_001,Halcyon Hevecam
T4,tier4_raw_material,Raw material / primary producer,Halcyon PT Remco Jambi,Indonésie,Outside_Europe,general_industrial,1,0,1,0.01,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Caoutchouc naturel,validated_supplier,T4,keep,medium_high,Halcyon Agri rubber processing/subsidiary; valid upstream natural rubber source.,SRC_HALCYON_001,Halcyon PT Remco Jambi
T4,tier4_raw_material,Raw material / primary producer,Halcyon SDCI-A,Côte d'Ivoire,Outside_Europe,general_industrial,1,0,1,0.01,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Caoutchouc naturel,validated_supplier,T4,keep,medium_high,Halcyon Agri rubber processing/subsidiary; valid upstream natural rubber source.,SRC_HALCYON_001,Halcyon SDCI-A
T4,tier4_raw_material,Raw material / primary producer,Klabin S.A.,Brazil,Outside_Europe,general_industrial,1,1,0,0.95,review,keep_as_supply_tier_node,True,,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Pâte à papier,validated_supplier,T4,keep,high,Pulp/paper/packaging producer; valid paper upstream source.,SRC_KLABIN_001,Klabin S.A.
