record_index,system,component,material_family,missing_role,missing_tier_code,candidate_name,candidate_type,confidence,modeling_action,rationale,source_ids,source_urls,active_supplier_recommendation
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,tier2_second_transformation,T2,ESPACE - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
2,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",steel,tier2_second_transformation,T2,MGA Villeneuve St Lot - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,adhesive_composite,tier4_raw_material,T4,BASF / SABIC / Solvay raw polymer or resin source,candidate_supplier_set,medium,choose_candidate_by_material_grade_before_activation,"For plastics, films, and composites, the missing T4 is a resin/polymer/chemical producer; exact grade should drive the choice.",SRC_BASF_001;SRC_SABIC_001;SRC_SOLVAY_001,https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.sabic.com/en/about;https://www.solvay.com/en/solutions-market/aerospace,no
5,Bumper version porte,alliage Cu,copper,tier2_second_transformation,T2,SUMPAR - machining/forming process owner,inferred_process_owner,medium_high,model_as_internalized_T2_at_T1_or_validate_subcontractor,"For metal parts, the absent T2 is often machining, forming, cutting, treatment, or kitting already covered by the T1 manufacturing scope.",SRC_LAUAK_001;SRC_SUMPAR_001;SRC_FIGEAC_001,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact,no
6,Ens. Stowage latéral,cuir,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
7,lightning,lightning,electronics_cots,tier4_raw_material,T4,do not infer generic semiconductor/foundry tier,needs_exact_bom,low,keep_as_COTS_upstream_context_not_supply_tier,Electronics T4 depends on exact components and foundry/distributor chain; generic COTS brands should stay out of the switchable production network.,SRC_THALES_001;SRC_HONEYWELL_001;SRC_COLLINS_001,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/,no
7,lightning,lightning,electronics_cots,tier3_first_transformation,T3,electronics sub-tier unknown,needs_exact_bom,low,keep_out_of_switchable_supplier_network_until_exact_BOM,Do not infer electronic T3 from generic semiconductor brands; exact PCB/display/power supplier BOM is required.,SRC_THALES_001;SRC_HONEYWELL_001;SRC_COLLINS_001,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/,no
9,Stowage assemblé avec porte,Silicone,rubber_silicone,tier4_raw_material,T4,Shin-Etsu / silicone raw chemistry source,candidate_supplier_set,medium,candidate_only_until_silicone_grade_traceability,"Silicone parts need an upstream silicone chemistry source; Shin-Etsu is already validated as a silicone-material actor, but exact grade/site remains open.",SRC_SHINETSU_001,https://www.shinetsusilicone-global.com/,no
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,tier4_raw_material,T4,do not infer generic semiconductor/foundry tier,needs_exact_bom,low,keep_as_COTS_upstream_context_not_supply_tier,Electronics T4 depends on exact components and foundry/distributor chain; generic COTS brands should stay out of the switchable production network.,SRC_THALES_001;SRC_HONEYWELL_001;SRC_COLLINS_001,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/,no
11,Coussin ottoman,tissu,textile_leather,tier4_raw_material,T4,fiber/polymer or hide upstream source,candidate_material_family,medium,add_material_family_T4_after_material_spec_validation,"For textile/leather rows, T4 is the fiber, polymer, or hide upstream source; exact material composition decides the supplier.",SRC_TORAY_001;SRC_DUPONT_001;SRC_BASF_001;SRC_ULTRAFABRICS_001,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/,no
